Place ID;Place Name;Review ID;Author;Rating;Predicted Rating;Text;Review Length;Word Count;Time;Date;Response
ChIJjUbpz69pzpQRAVhrkzqawsQ;Pet Shop Primo Brasil;Aline Brasil_1644854467;Aline Brasil;5;5;O melhor atendimento pet shop na região de São Mateus. Ótimos preços e qualidade dos produtos.;94;16;1644854467;2022-02-14 13:01:07;pt
ChIJqyuicwj8HqwRAy0hBmdhgQM;Gatil Zuliani;Jessica Silveira_1725394413;Jessica Silveira;5;5;Criadores responsáveis, cuidadosos e amorosos com os animais, atenciosos pré e pós venda com os clientes, animais super saudáveis, com acompanhamento veterinário, vermifugados (sem parasitas externos e internos), vacinados, com exames Fiv/Felv e PKD, microchipados, castrados, linhagem padrão da raça, entregues com pedigree, contrato de compra/venda, filhotes calmos, carinhosos e felizes, com pêlos aveludados devido a ração super premium, virei fã do Gatil Zuliani, pretendo adquirir outro filhote em breve. Fomos muito bem recebidos quando buscamos pessoalmente a nossa filhote, ela trouxe alegria para a nossa família! Um sonho realizado!! Recomendo!! Obrigada Sheila e Ricardo!!;684;95;1725394413;2024-09-03 17:13:33;pt
ChIJjREKIOFdzpQR766M0hECWrg;Clínica e Pet Shop Bichitu's;Celso Valle_1726585407;Celso Valle;5;5;Muito bem atendido por todos os funcionários.  E a médica veterinária Dra.Sherily muito profissional e super atenciosa com meu cãozinho Nick. Recomendo a todos.;160;24;1726585407;2024-09-17 12:03:27;pt
ChIJS_AzqIVdzpQRNHW0x34f0Ms;Pets Melo;myrna shimabucuro_1725636896;myrna shimabucuro;5;5;Queria agradecer a dra Karina, uma pessoa incrível que cuidou com tanta dedicação,  amor e carinho da minha Pretinha. Sem dúvida nenhuma suer recomendo.;152;24;1725636896;2024-09-06 12:34:56;pt
ChIJ2-jxrUNdzpQRDNjk4Dhr_nA;Pet Shop da Praça;Fess Beleza Hair_1692998822;Fess Beleza Hair;5;5;Ótimo atendimento ração de boa qualidade super indico;53;8;1692998822;2023-08-25 18:27:02;pt
ChIJub0OXn1CzpQRZYcWlF0uyQ0;Gustavo Daniel Randi Veterinário;Maria Fernanda Lourenço_1474127648;Maria Fernanda Lourenço;1;1;Tinha uma visita marcada hoje para ver os meus pets e não apareceu e nem deu satisfação;87;17;1474127648;2016-09-17 12:54:08;pt
ChIJ4VvDj8xdzpQR4qQkzMDW92k;Mundi Pet Shop e Estética Animal;Sandra de Sousa Faustino_1732382820;Sandra de Sousa Faustino;5;5;Equipe atenciosa e cuida com muito carinho dos meus Pets. Sei o quanto por muitas vezes deve ser difícil mas o carinho deles já supera tudo isso. A pessoa q realiza a tosa esta de parabéns pq sempre adorei o serviço dele (a). Parabéns equipe maravilhosa ♥️;256;47;1732382820;2024-11-23 14:27:00;pt
ChIJv5P6XP5czpQRh-9v-r2Scn8;Veterinary Clinic Dr. Mauricio Gomes Gori;Elaine Nagamine_1738600509;Elaine Nagamine;5;5;O atendimento a nossa Querida Lisa é sempre feito com mta atenção e carinho!  Hj o atendimento do. João foi  nota 1000!!!!!;123;22;1738600509;2025-02-03 13:35:09;pt
ChIJF9DR6qdBzpQRJc9Sekp3MQg;Clínica Veterinária Franciscão;Leticia de Lemos_1734540806;Leticia de Lemos;3;5;Não tenho o que reclamar dar veterinária. Sempre atendeu a Serena super bem, muito delicada e atenciosa. Mas a recepção peca no atendimento tanto presencial como via WhatsApp. Acho a mulher que trabalha lá extremamente grosseira, e hoje optei em mudar de clínica por isso. Ao responder dúvidas, ela não sabe explicar e responde como se fosse nossa obrigação saber. Fora isso, todos os funcionários sempre foram simpáticos.;422;68;1734540806;2024-12-18 13:53:26;pt
ChIJGaqeLDppzpQRYqgc2U-I99s;Vip Clínica Veterinária e Petshop;Alessandro Vieira_1614167346;Alessandro Vieira;5;5;Tem um atendimento com muito carinho e profissionalismo com os pets... valores bem acessíveis e um contato sempre direto e rápido por whatts... agendamento prévio e pacotes de serviços com desconto... um ótimo local para cuidar dos nossos melhores e mais sinceros amigos...;273;43;1614167346;2021-02-24 08:49:06;pt
ChIJKUBRlA1dzpQRPc9HlUje4Xg;MP Império Animal;Rolex Tattoo_1635733997;Rolex Tattoo;5;5;"Excepcional! Minha filha-dog voltou perfeita!!!
Cheirosa toda enfeitada de halloween.
Pessoal que me atendeu super educados e prestativos! Cortaram as unhas. Simplesmente perfeito.
Virei cliente!!!";197;25;1635733997;2021-10-31 23:33:17;pt
ChIJHYNOMS5nzpQR2ygJNHsygMM;Pandora Pet Shop;Juliana Fernandes_1582912683;Juliana Fernandes;5;5;Nota mil, tratam meu cachorro com muito carinho e sempre deixam limpinho e muito cheiroso! Quando não tem um produto que preciso se esforçam para procurar pra mim! Super recomendo;179;30;1582912683;2020-02-28 14:58:03;pt
ChIJcSN1SNRDzpQRgALXZqaEMXM;Consulte Vet Home - Clinica Veterinária;giuliana_1731526743;giuliana;5;5;Conheci o Dr.Douglas após meu cachorro ser atropelado por um carro de uma empresa que socorreu ele e  horas depois do acontecido a empresa me encontrou e entregou o “Bolota” já operado foram 5 dias de medicação feita na residência pelo Dr.Douglas o amor e o profissionalismo dele foi surreal e essencial na sua recuperação , nossa família é grata por você ter cruzado a vida do bolota e ele também é grato por isso sem dúvida.;426;77;1731526743;2024-11-13 16:39:03;pt
ChIJi3TrVXdBzpQR5Di90RuxR4w;Aquarium Life;Cesar Silva_1514882220;Cesar Silva;5;5;Show;4;1;1514882220;2018-01-02 06:37:00;en
ChIJY5nm7pBpzpQRwZQLUPB7DxU;Pet shop da jo;Jessica Andrade_1594224063;Jessica Andrade;3;3;Não tem telefone pra contato ?;30;6;1594224063;2020-07-08 13:01:03;pt
ChIJAQCEHvdCzpQRMQ1iSSoXngI;AtlantiCão Pet Store;Simone Macedo_1731768772;Simone Macedo;5;5;"A loja é bem completa, o pessoal é super atencioso
Já usamos o serviço de pet shop e adoramos o cuidado com as nossas meninas";125;25;1731768772;2024-11-16 11:52:52;pt
ChIJzZDHi-NdzpQRd0GCkVtMe6M;Pet Speciale;jp pro_1644690685;jp pro;5;5;Melhor lugar para pets!!Muita paciência e profissionalismo com os pequenos!Adorei!?;83;10;1644690685;2022-02-12 15:31:25;pt
ChIJGTMGSNVCzpQRdH43ck4C6YE;Clínica Veterinária Naya;Maria Santos_1704989602;Maria Santos;5;5;A melhor possível tenho muita gratidão pelo Dr Giovane ele salvou meu maltês ,muito bom ducado carinhoso um excelente profissional;130;20;1704989602;2024-01-11 13:13:22;pt
ChIJu66zn1lpzpQRXCZklL6x9TU;Clinica veterinária&petshop animal rei;Valéria S Feitosa_1643837266;Valéria S Feitosa;5;5;Top , ❤;7;3;1643837266;2022-02-02 18:27:46;en
ChIJyROrqwJmzpQRMo07AYJjWaE;Tutu Pet Shop;Ronaldo Lobo_1582194996;Ronaldo Lobo;5;5;Ótimo lugar os funcionários são muito atenciosos os proprietários muito gentil o mais importante que eles todos amam animais eu recomendo;137;21;1582194996;2020-02-20 07:36:36;pt
ChIJjYyDP6dpzpQRYTMcd9Bq8wk;Veterinária Nações;Jaqueline Santos Costa_1710808153;Jaqueline Santos Costa;2;1;Infelizmente não tive uma boa experiência nesse lugar. A 1a ida ao local foi p dar vacina no meu pet e me conquistou pq o atendimento foi excelente! Quando eu realmente precisei porque meu pet apresentou um problema, foi aí q veio a decepção...Infelizmente perderam quem seria um boa cliente, com muitas recomendações para a clínica, mas agora minha recomendação é apenas: não vá...;382;64;1710808153;2024-03-18 21:29:13;pt
ChIJseunmPpczpQRS8yaPN3xt90;Petz - São Caetano do Sul;Vviana400@gmail.com.br 527527mi_1563421489;Vviana400@gmail.com.br 527527mi;3;3;Dgf;3;1;1563421489;2019-07-18 00:44:49;en
ChIJVQ3doIxpzpQRlVw-oFhd84c;ZM casa de rações loja 1;Francisco Velloso_1699495628;Francisco Velloso;5;5;Ótima casa de rações, a melhor da região! O atendimento é nota 10, muito educado e atencioso e só tem produtos de ótima qualidade. Parabéns pelo trabalho.;154;27;1699495628;2023-11-08 23:07:08;pt
ChIJRyzJb_JDzpQRo6-deFqxTxo;Petshop Belo Toque;Marcelo M. Paoli_1652795195;Marcelo M. Paoli;5;4;Pet shop pequeno mas bem honesto nos preços, sempre que eu posso levo meu pet para o banho, eles cuidam muito bem dele, vale a pena.;132;26;1652795195;2022-05-17 10:46:35;pt
ChIJOZWSX-xCzpQRnLjlHBToGz0;Vet Selvagem Pet Shop & Clinica Veterinaria;Marco Biologia Biologia_1737628117;Marco Biologia Biologia;5;5;O Simba amou esse lugar , fomos muito bem atendidos, o Simba é muito sensível a cheiro , a sabao e shampoo, após o banho ele foi muito bem tratado voltou pra casa e nada de dermatites. Vou voltar sempre o banho foi muito bom.;225;45;1737628117;2025-01-23 07:28:37;pt
ChIJAXuBPS1dzpQRhU3Ge5M6t0M;Buticão Clínica Veterinária, Hotel e Pet Shop;Marcos Roberto_1704806328;Marcos Roberto;5;5;"Bom, quero que este comentário seja 1 testemunho. Ja havíamos levado nosso Pet (shi-tsu) em outras 2 clínicas para tratar uma grave alergia de pele. Foram exames medicações e inúmeros cuidados pessoas adotados afim de buscar solução desse problema, mas sem resultado.
Chegou a nosso conhecimento a clínica Buticão e indicação de passar com Dr. Rubens.
Eu não sei dizer como, nem o porque, mas sabia que nesta visita viria uma solução.
O atendimento humanizado que o Dr. Rubens realiza é uma obra de cura, pois toda a atenção, cuidado e principalmente amor que emana naquela sala faz com que tudo se transforme em benção.
Sem falar que ele pega seu número para após alguns dias de tratamento perguntar como está a evolução do seu pet.
Sempre dizem que nada é por acaso, pois acreditem não foi.
Que Deus abençoe Dr. Rubens com muita paz e saúde para que ele estando entre nós possa servir ao próximo com tanto amor e cuidado todos os que buscam sua ajuda.
Abraço a toda equipe que trabalha se dedica e faz deste lugar um lugar de cura.";1033;184;1704806328;2024-01-09 10:18:48;pt
ChIJY4FrPhZozpQRi_OYqUYpo1I;Animal Shopping Pet Shop - Santo André 1 Av. das Nações;Fernando filho._1626131853;Fernando filho.;1;1;Minha experiência é que comprei uma roupa para meu animal, e fato que também falhei porque não olhei o tamanho, porém o vendedor, disse que o determinado tamanho ficaria, bom no meu animal, skn ainda quando fui trocar relatei ocorrido ao vendedor ele na verdade desconversou, ainda só consegui trocar a mercadoria no mesmo dia como no outro era feriado, eles não trocaria só porque era feriado o quê digo e lamentável.;418;72;1626131853;2021-07-12 20:17:33;pt
ChIJsVIm8qFdzpQR1kHPsFwbxYM;Bons Amigos Pet Shop;Elton Carvalho_1610570916;Elton Carvalho;5;5;Show de bola... Atendimento exemplar... Bons serviços 👏👏👏👏👏👏;60;8;1610570916;2021-01-13 17:48:36;pt
ChIJyWlBbGFDzpQRGCob69SwAz4;SAVET Petshop e Clínica Veterinária;Bruna Valente_1702602114;Bruna Valente;5;5;"Os melhores profissionais com toda certeza!

Indico de olhos fechados, Sabrina sempre assertiva nos diagnósticos.";113;15;1702602114;2023-12-14 22:01:54;pt
ChIJS_yoZiJqzpQR22cTEHDC_Ao;Pet Polivalent;Jeferson Tamelin_1571365825;Jeferson Tamelin;5;5;Tem tudo que proucura;21;4;1571365825;2019-10-17 23:30:25;pt
ChIJHR-2g71BzpQROHbfgoWUaVM;Cães & Cia;Alan Jeferson_1564283367;Alan Jeferson;5;5;Atendimento top e ambiente descontraído. Sem falar que meus animais adoram o tratamento e cuidado pelo Alexandre e família.;123;19;1564283367;2019-07-28 00:09:27;pt
ChIJ7ekzF41dzpQRkrck5tSWGPQ;Entre PATAS & BANHOS Pet Shop;Inalda Cordeiro_1734964009;Inalda Cordeiro;5;5;Atendimento excelente, super cuidadosos e amorosos com tudo, meu pet ficou super limpinho, cheiroso, simplesmente impecável, super recomendo 🐾;142;19;1734964009;2024-12-23 11:26:49;pt
ChIJQ16USUpBzpQRL2yc3A9MZq0;Clínica veterinária Caramelo's;Amabelle Carvalho_1738116801;Amabelle Carvalho;5;5;Lugar incrível e atendimento maravilhoso!! Meu cachorro é sempre bem tratado com muito cuidado, tanto na clínica quanto no serviço de banho e tosa. Super recomendo !! 💜;168;28;1738116801;2025-01-28 23:13:21;pt
ChIJOz1CIXVpzpQRjKvLTDzFCzc;Consultório Veterinário. Dra Débora Donato Hagy;Professor Vitor Lobo_1729561465;Professor Vitor Lobo;5;5;Excelente atendimento. Médicas incríveis, capacitadas e atenciosas.;67;7;1729561465;2024-10-21 22:44:25;pt
ChIJgd_geXZBzpQRdfDEjwqt-CI;Bichos e Caprichos;Ivone Avilla_1738666882;Ivone Avilla;5;5;Tive 2 poldoos um adotei com eles,isso faz anos,mas o carinho por esses profissionais é eterno,gratidão a todos ele❤️🙏🌹;119;19;1738666882;2025-02-04 08:01:22;pt
ChIJN8pJiE9kVwERoBzYtexfAEs;Pet Shop Au-Au Miau;antonio toninho_1616005068;antonio toninho;5;5;Ótimo lugar profissionais competentes . É o mais importante tratá seu PET com amor;82;14;1616005068;2021-03-17 15:17:48;pt
ChIJHem9NYtCzpQRYtKQugW208w;Patinhas Mágicas;Adriana Vicente_1546621592;Adriana Vicente;5;5;Excelente atendimento, tenho 3 cãezinhos, já levei diversas vezes para banho e tosa.;84;13;1546621592;2019-01-04 15:06:32;pt
ChIJs5__lMhDzpQRqZgcvX6tjK0;Espaço Pet & Co - Banho e Tosa na Vila Assunção;Tais Carmo_1712842686;Tais Carmo;5;5;"Levei o Koda pela primeira vez na Pet&Co, e amei, ele veio tão cheiroso e com os pelos MUITO macios.
Por ser de porte grande geralmente o cheiro não dura muito, mais até o momento ele ainda está com cheiro bem gostoso.";218;42;1712842686;2024-04-11 10:38:06;pt
ChIJ23educJpzpQR_TD4Cyw_KLE;Clinica Veterinária Master;Douglas Fernandes_1687959352;Douglas Fernandes;5;5;Clínica bem estruturada com ótimos profissionais, atenciosos com nossos pets, além de serem super caprichosos no banho e tosa ainda disponibilizam serviço de creche e hotelaria pra pets que facilita muito nosso dia dia pra aliviar a energia dos nossos amigos! Recomendo o melhor da nossa região!;295;47;1687959352;2023-06-28 10:35:52;pt
ChIJo71UUAVDzpQR-OfRLO17LYo;Amor aos Pets;Leonardo Baldin_1713476100;Leonardo Baldin;5;5;"Creche muita boa com tudo que precisa para entreter os animais.

Atendimento muito bom, possuem veterinário no espaço durante o dia todo.

Serviço de creche, hotel e estadias avulsas";182;29;1713476100;2024-04-18 18:35:00;pt
ChIJ6UGUTCJDzpQRQwD5gRtvlXQ;Clinica Veterinária Medcão;Simone Cerda_1737514354;Simone Cerda;5;5;"Sempre nos atendem com muito carinho e aos nossos Pets com muito amor.
Preço justo, indica parceiros que oferecem descontos.
Destaque para Dra Raquel, muito atenciosa, sempre de prontidão para dar o melhor atendimento.
Super indico, somos clientes a mais de 8 anos.";265;43;1737514354;2025-01-21 23:52:34;pt
